risk,comment
1,돈을 엄청 써도 또 돈을 써야하는 게임
1,리니지광땜에 택진이형알앗구요 노잼.. 별한개도아쉽다
1,라바섭은 왜 서버이전막아놓는거냐ㅡㅡ 이전풀꺼면 다풀어놓지 어디는풀리고어디는막아놓고 짜증난다
1,과금안하면 발끗도 못미치는 게임 재미는 있다.. 맞는 재미
1,"계정이 영구정지되었다는 통보를 받았습니다. 용옥을 11월18일날 핸폰결제로 55,000원 구매를 하였다고 되있는데 11월17일날 0 원으로 환불처리가 되었다고 뜨더군요.구글 계정도 정지되었는데 구글 계정은 정지해제 시켰습니다. 게임은 왜 안되는건지요?? 지금까지 NC게임 하면서 한번도 환불처리 받아본적없는 유저인데 주말 아침부터 이게 먼날벼락도 아니고 먼일일까요?? 재결제 버튼 누르면 된다고 써있어서 누르려하니 재결제가 모두 완료되었다고 눌리지도않고 답답하네요 진짜.빠른 답변 부탁드려봅니다."
1,확률은 계속 낮추고 현금 도박템은 99%고 드다나 용옥은 무조건 사야 되고 메크로가 모든 사냥터의 90%는 차지하는데 대놓고 무시하고 중독 이용해서 유저들 빨아먹는 강원랜드 저리가라식 운영 국감요구가 아니라 강제수사를 해야 된다 그리고 운영자들도 진심 양심은 있냐? 그렇게 일하고 월급은 기다려지지? 메크로 답변만 달거면 그냥 보고 꺼져
1,솔직히 이런거 안쓰는데...진짜 엔씨 운영진들 엄빠 팔아드심??옛추억에 하는게임이아냐이건.. 적당히 해먹어야지
1,1점도 아깝다
1,칼삭 바삭 빠삭 ㅋ
1,내가 세상에 직업을 뽑기로 뽑아야 되는 겜은 생전 처음 해본다 ㅋㅋㅋ
1,사행성 별하나도아깝다
1,800만원 현질을 했는데도 하나도 안뜨고 하..인생만 변했네요
1,돈먹는하마
1,헬게임
1,용량이너무커요
1,택진이형 머해요?돈시알리고 있어요 ?
1,개 쓰레기 또옹망겜
1,왜 게속 게임 꺼지나요?? 저 폰 최신이에요;;
1,"확률 도박장 수준 겜 입문 입장료만 100만원 정도 라고 보시면됨. 순수농사나 RPG하라고 만든겜 절때! 아님 입문주의 이미 맛탱이간나간향수로 낚음. 운영&파밍 초 악덕형태. 세상에 아무 생각이 없어 세단에 외제차를 몰며 기름값을 길에뿌리고 돈을 걱정안하는 현실에 감이없는 태평만 할 것. -어이쿠 안습 손이얼굴을 가리는 겜. 두글자 극 히, 혐 오. 돈이많으시면하샘 똥 모바일 이라고 보면됨. 근데 돈을많이벌 수 있는자가 자기시간에 과연 이걸붙잡고있을까. 볼수록노답 안타까운 끝난게임. 작은향수도 주의. 그리고 게임자체개발자는 실제로 블리자드에서 생각가져온다. 것도 개안습 ㅠ"
1,별 한개도 아까움
1,빠찡꼬임
1,"연속출석보상 20일,30일 안줌 처리좀요"
1,타격감이 하나도 없음
1,개세들아 적당히 해처묵어라
1,정부 제재가 반드시 필요한 도박. 게임이 아닙니다.도박이에요 절대 다운받지 마세요
1,유저를 개돼지로 아는 게임 절대 손대선안될 게임 꼭 내가죽기전어 부도나던가 망했으면 하는게임 절대 nc게임 하면안됨 개더럽고 ㅆㄹㄱ 같은게임입니다
1,돈만밣히는 엔시에 진절머리가난다..~~ㅃㅃ
1,개인적으로 그냥 노노노 아무 의미가없음 고로 재미자체가없음
1,뭐람 안드러가지네요
1,미.친.과금유도 이건도박임
1,결전의탑이요 격돌의탑이요 하나만해요
1,말이필요없는 한국 최고의 똥겜
1,쓰레기 도박게임
1,개 J같은게임 하지만 하고있다
1,이런겜 왜함?
1,무과금으로 절대 강해질 생각 조차 단1조차 생각 하지마라라
1,왜 업데이트가 안되나요?? 다운로드대기중 이것만 계속....
1,조 ㅈ
1,아이온 초창기 이후 더이상 없네.. 뭐해보것다고 깔아서 현질햇드니.. 아무것도 안주네.. 뭣같어서 안할래욤... nc 빠욤
1,업데이트가 2시간째 업데이트중인데 짜증나네요 통신사 kt라서 전화해보면 문제없다고하는데 왜 이런건가요 2시간째 업데이트는 아닌것같은데요
1,왜 다운로드가 안되는걸까요
1,도박을 하려면 강원랜드에 가세요
1,유저간의 거래는 절대 없다.오직 NC만이 별의 별 템을 판매하며 유저의 피 같은 돈을 쭈욱~~ 빨아 먹는다.처음 리니지가 왜 흥행하게 됐는지 모르는가보다.그래픽?웃겨~~어! 거래! 유저간의 거래가 가능해서 흥행 할 수 있었다고 난 생각한다.
